CODGEO,NOM_COMM,STATUT,POPULATION,superficie_ha,x_ctr,y_ctr,id
27507,SAINT-ANDRE-DE-L'EURE,Commune simple,3851,2007.819185999,573814.703190673,6868351.18217328,7742
27183,LA COUTURE-BOUSSEY,Commune simple,2300,1133.67679399939,582487.52078493,6868079.57688788,7743
78107,BREVAL,Commune simple,1870,1166.55559649935,593161.40586586,6873786.17025347,7744
78362,MANTES-LA-VILLE,Commune simple,20251,614.624853999619,605720.090510245,6875770.94858785,7745
78440,LES MUREAUX,Commune simple,31487,1265.04192700001,620525.204471693,6877110.4733914,7746
78551,SAINT-GERMAIN-EN-LAYE,Sous-préfecture,39547,4955.97796899752,634024.017723307,6871623.3330521,7747
95018,ARGENTEUIL,Sous-préfecture,106817,1744.84475849927,644384.214896095,6872691.66162768,7748
93066,SAINT-DENIS,Sous-préfecture,109343,1218.42914049961,653068.104410251,6870152.69297286,7749
93005,AULNAY-SOUS-BOIS,Commune simple,82634,1633.68174399919,662885.593972707,6871925.52533842,7750
77514,VILLEPARISIS,Commune simple,25889,802.951429499717,671929.742503011,6871377.95836965,7751
77284,MEAUX,Sous-préfecture,53766,1539.37122249949,692664.076174874,6873008.1401509,7752
77475,TRILPORT,Commune simple,4930,1084.34927699936,697563.804037779,6873185.58812595,7753
77183,LA FERTE-SOUS-JOUARRE,Commune simple,9504,1007.57804949927,709410.391302948,6872671.89599591,7754
02163,CHARLY-SUR-MARNE,Commune simple,2644,2069.63768049913,721377.567107955,6876403.74364831,7755
02186,CHEZY-SUR-MARNE,Commune simple,1305,2302.16968049885,727941.660258267,6876107.83725458,7756
51085,LE BREUIL,Commune simple,403,1582.16729249951,747659.886139887,6876077.05151134,7757
51416,ORBAIS-L'ABBAYE,Commune simple,583,1625.50937999941,751352.839608847,6871741.23216212,7758
51612,VERTUS,Commune simple,2444,3590.3329689981,771860.708221977,6868020.19889399,7759
51029,AVIZE,Commune simple,1806,776.766627499649,773624.443949605,6875302.18124475,7760
51242,FAGNIERES,Commune simple,4604,1962.74090199897,795876.213901043,6872551.92660175,7761
51108,CHALONS-EN-CHAMPAGNE,Préfecture de département,44899,2605.24781199838,800955.385472383,6874682.51041844,7762
51193,COURTISOLS,Commune simple,2472,6541.74430899613,811199.096613754,6876342.43421848,7763
51179,COUPEVILLE,Commune simple,189,3014.7315479983,819000.999581825,6868364.34490472,7764
51272,GIVRY-EN-ARGONNE,Commune simple,450,746.312927499888,839664.377322804,6873816.94800971,7765
55517,SEUIL-D'ARGONNE,Commune simple,519,2578.34109449927,850498.450709722,6876823.05952756,7766
55423,REMBERCOURT-SOMMAISNE,Commune simple,338,2209.35186399855,859626.974430122,6871113.99450943,7767
55404,PIERREFITTE-SUR-AIRE,Commune simple,301,1755.6624014988,872091.410001079,6869982.80631681,7768
55111,CHAUVONCOURT,Commune simple,462,1043.21677699924,883053.84316445,6868697.21220015,7769
55463,SAINT-MIHIEL,Commune simple,4269,3292.76253799848,889342.477946354,6868814.22252976,7770
54182,ESSEY-ET-MAIZERAIS,Commune simple,395,1316.32578449933,905626.239187882,6871569.94016378,7771
54518,THIAUCOURT-REGNIEVILLE,Commune simple,1260,1896.5736994988,912521.787128063,6874199.74950418,7772
54431,PONT-A-MOUSSON,Commune simple,14792,2173.10461799903,923729.85950226,6873426.87467097,7773
54400,NOMENY,Commune simple,1185,1838.1675424992,937077.924797765,6869016.44969764,7774
57171,DELME,Commune simple,1083,511.070791999845,948198.424274324,6870111.04924171,7775
57051,BARONVILLE,Commune simple,398,634.053419999692,964755.176152348,6876982.18113384,7776
57483,MORHANGE,Commune simple,3489,1553.22013199914,966804.642666895,6875902.81522513,7777
57011,ALBESTROFF,Commune simple,633,1888.23710899878,983388.327441639,6876940.91383524,7778
67435,SARREWERDEN,Commune simple,900,1703.29398299923,998371.879630075,6875271.58165193,7779
67105,DRULINGEN,Commune simple,1483,505.912628999694,1007566.58915064,6871262.5547826,7780
67322,NEUWILLER-LES-SAVERNE,Commune simple,1126,3246.05805699831,1020414.07193492,6867432.51443853,7781
67222,INGWILLER,Commune simple,4189,1799.08098499935,1027521.50574822,6874390.7750331,7782
67372,VAL DE MODER,Commune simple,5102,628.139154999756,1038119.03967746,6870540.14827407,7783
67180,HAGUENAU,Sous-préfecture,34419,18362.6564719916,1054276.84756014,6871067.41173383,7784
67472,SOUFFLENHEIM,Commune simple,4946,1369.52833199931,1063754.15456155,6867945.43276939,7785
67405,ROESCHWOOG,Commune simple,2291,990.651117500023,1069842.33827554,6869933.60917559,7786
22195,PLEUBIAN,Commune simple,2447,1992.22513049883,250197.981605138,6877786.24127061,7813
22111,LANMODEZ,Commune simple,444,411.250757499841,252817.83544404,6877817.38620609,7814
50419,QUETTREVILLE-SUR-SIENNE,Commune simple,1802,1955.2453244986,372732.254087866,6883312.67566513,7824
50437,RONCEY,Commune simple,842,1214.1057624993,383128.694296585,6884627.43987479,7825
50363,MOYON VILLAGES,Commune simple,1510,3275.07165849841,397910.01704186,6885255.09454923,7826
50601,TORIGNY-LES-VILLES,Commune simple,4307,3918.10221449731,409764.115412421,6885141.85191294,7827
14061,SOULEUVRE EN BOCAGE,Commune simple,8658,18996.28826649,418071.68550184,6879680.83846867,7828
14579,SEULLINE,Commune simple,1097,2834.79890249832,429968.855329535,6887581.94020015,7829
14689,LE HOM,Commune simple,3644,4609.32598649761,442582.894267114,6882596.9643602,7830
14207,CROISILLES,Commune simple,612,1031.34620149926,447423.2002873,6883659.30558794,7831
14516,POTIGNY,Commune simple,1954,420.410924499726,462267.957454949,6879295.54183743,7832
14654,SAINT-PIERRE-SUR-DIVES,Commune simple,3587,983.640543499411,477598.146586894,6883802.6575663,7833
14472,L'OUDON,Commune simple,1574,5569.82253599722,482768.057954346,6877714.22505082,7834
14371,LIVAROT-PAYS-D'AUGE,Commune simple,6552,18343.7073819907,497162.464766645,6881738.35562263,7835
14478,ORBEC,Commune simple,2251,981.695502999271,508668.32747751,6883531.14321643,7836
27117,BROGLIE,Commune simple,1096,800.739603999769,519004.191618254,6881017.89593131,7837
27049,MESNIL-EN-OUCHE,Commune simple,4722,16635.8608564908,529010.849315946,6878560.00512815,7838
27051,BEAUMONT-LE-ROGER,Commune simple,2972,3618.15542149819,535868.460266717,6886755.17809236,7839
27082,LA BONNEVILLE-SUR-ITON,Commune simple,2255,374.16734749973,556253.833666168,6879299.78104225,7840
27229,EVREUX,Préfecture de département,49722,2685.32433449879,564061.788593265,6881589.2206693,7841
27280,GAUCIEL,Commune simple,913,803.534117999899,571881.471529532,6883143.34157663,7842
27448,PACY-SUR-EURE,Commune simple,4556,1328.62715399906,582985.590079564,6881431.11584466,7843
78531,ROSNY-SUR-SEINE,Commune simple,5766,1875.30467649852,598101.160272302,6878322.16963806,7844
78361,MANTES-LA-JOLIE,Sous-préfecture,45052,947.504197499823,604446.632030091,6878396.10885234,7845
78401,MEULAN-EN-YVELINES,Commune simple,8992,356.923628999353,620485.209797814,6879049.43336871,7846
95127,CERGY,Commune simple,61708,1432.74971299897,630597.118061417,6882658.5141932,7847
95306,HERBLAY,Commune simple,27378,1263.17314949917,637794.163735711,6878196.89629652,7848
95680,VILLIERS-LE-BEL,Commune simple,27312,722.712051499631,656355.113371702,6878820.52437533,7849
95280,GOUSSAINVILLE,Commune simple,31212,1135.70117849954,660969.740733855,6880589.91542044,7850
77153,DAMMARTIN-EN-GOELE,Commune simple,8669,895.180656499332,676585.298884094,6883881.78735094,7851
77430,SAINT-PATHUS,Commune simple,5918,536.426890499198,684533.64547692,6886012.93265804,7852
