interval,interval_min,interval_max,type_betail,nb
"1.26e+05,1.28e+05",126000,128000,total_ovins,0
"1.26e+05,1.28e+05",126000,128000,total_population,1.14773241315963
"1.26e+05,1.28e+05",126000,128000,total_porcins,0
"1.28e+05,1.3e+05",128000,130000,total_bovins,4.10023149933064
"1.28e+05,1.3e+05",128000,130000,total_caprins,0
"1.28e+05,1.3e+05",128000,130000,total_equides,0
"1.28e+05,1.3e+05",128000,130000,total_ovins,0
"1.28e+05,1.3e+05",128000,130000,total_population,0.857391448636295
"1.28e+05,1.3e+05",128000,130000,total_porcins,0
"1.3e+05,1.32e+05",130000,132000,total_bovins,5.5167467067226
"1.3e+05,1.32e+05",130000,132000,total_caprins,0
"1.3e+05,1.32e+05",130000,132000,total_equides,0
"1.3e+05,1.32e+05",130000,132000,total_ovins,0
"1.3e+05,1.32e+05",130000,132000,total_population,0.681126711369429
"1.3e+05,1.32e+05",130000,132000,total_porcins,0
"1.32e+05,1.34e+05",132000,134000,total_bovins,17.9503757766393
"1.32e+05,1.34e+05",132000,134000,total_caprins,0
"1.32e+05,1.34e+05",132000,134000,total_equides,0
"1.32e+05,1.34e+05",132000,134000,total_ovins,0
"1.32e+05,1.34e+05",132000,134000,total_population,0.807001118363544
"1.32e+05,1.34e+05",132000,134000,total_porcins,0
"1.34e+05,1.36e+05",134000,136000,total_bovins,4.52859910366847
"1.34e+05,1.36e+05",134000,136000,total_caprins,0
"1.34e+05,1.36e+05",134000,136000,total_equides,0
"1.34e+05,1.36e+05",134000,136000,total_ovins,0
"1.34e+05,1.36e+05",134000,136000,total_population,0.746065620533003
"1.34e+05,1.36e+05",134000,136000,total_porcins,0
"1.36e+05,1.38e+05",136000,138000,total_bovins,0
"1.36e+05,1.38e+05",136000,138000,total_caprins,0
"1.36e+05,1.38e+05",136000,138000,total_equides,0
"1.36e+05,1.38e+05",136000,138000,total_ovins,0
"1.36e+05,1.38e+05",136000,138000,total_population,0.741042360641533
"1.36e+05,1.38e+05",136000,138000,total_porcins,0
"1.38e+05,1.4e+05",138000,140000,total_bovins,8.54725820448231
"1.38e+05,1.4e+05",138000,140000,total_caprins,0
"1.38e+05,1.4e+05",138000,140000,total_equides,0
"1.38e+05,1.4e+05",138000,140000,total_ovins,0
"1.38e+05,1.4e+05",138000,140000,total_population,1.52724219514579
"1.38e+05,1.4e+05",138000,140000,total_porcins,0
"1.4e+05,1.42e+05",140000,142000,total_bovins,61.9327795164858
"1.4e+05,1.42e+05",140000,142000,total_caprins,0
"1.4e+05,1.42e+05",140000,142000,total_equides,0
"1.4e+05,1.42e+05",140000,142000,total_ovins,0
"1.4e+05,1.42e+05",140000,142000,total_population,3.77463371537187
"1.4e+05,1.42e+05",140000,142000,total_porcins,0
"1.42e+05,1.44e+05",142000,144000,total_bovins,5.6232556926216
"1.42e+05,1.44e+05",142000,144000,total_caprins,0
"1.42e+05,1.44e+05",142000,144000,total_equides,0
"1.42e+05,1.44e+05",142000,144000,total_ovins,0
"1.42e+05,1.44e+05",142000,144000,total_population,5.00856239098577
"1.42e+05,1.44e+05",142000,144000,total_porcins,0
"1.44e+05,1.46e+05",144000,146000,total_bovins,45.6931738686762
"1.44e+05,1.46e+05",144000,146000,total_caprins,0
"1.44e+05,1.46e+05",144000,146000,total_equides,0
"1.44e+05,1.46e+05",144000,146000,total_ovins,0
"1.44e+05,1.46e+05",144000,146000,total_population,5.66767497211364
"1.44e+05,1.46e+05",144000,146000,total_porcins,0
"1.46e+05,1.48e+05",146000,148000,total_bovins,79.7334067732711
"1.46e+05,1.48e+05",146000,148000,total_caprins,0
"1.46e+05,1.48e+05",146000,148000,total_equides,0
"1.46e+05,1.48e+05",146000,148000,total_ovins,0
"1.46e+05,1.48e+05",146000,148000,total_population,4.27006104430191
"1.46e+05,1.48e+05",146000,148000,total_porcins,0
"1.48e+05,1.5e+05",148000,150000,total_bovins,100.523550679685
"1.48e+05,1.5e+05",148000,150000,total_caprins,0
"1.48e+05,1.5e+05",148000,150000,total_equides,0
"1.48e+05,1.5e+05",148000,150000,total_ovins,0
"1.48e+05,1.5e+05",148000,150000,total_population,2.12572014473641
"1.48e+05,1.5e+05",148000,150000,total_porcins,0
"1.5e+05,1.52e+05",150000,152000,total_bovins,96.0069824803025
"1.5e+05,1.52e+05",150000,152000,total_caprins,0
"1.5e+05,1.52e+05",150000,152000,total_equides,0
"1.5e+05,1.52e+05",150000,152000,total_ovins,0
"1.5e+05,1.52e+05",150000,152000,total_population,1.81452467662566
"1.5e+05,1.52e+05",150000,152000,total_porcins,0
"1.52e+05,1.54e+05",152000,154000,total_bovins,68.8480093253611
"1.52e+05,1.54e+05",152000,154000,total_caprins,0
"1.52e+05,1.54e+05",152000,154000,total_equides,0
"1.52e+05,1.54e+05",152000,154000,total_ovins,0
"1.52e+05,1.54e+05",152000,154000,total_population,1.79532519358059
"1.52e+05,1.54e+05",152000,154000,total_porcins,0
"1.54e+05,1.56e+05",154000,156000,total_bovins,88.9975629457167
"1.54e+05,1.56e+05",154000,156000,total_caprins,0
"1.54e+05,1.56e+05",154000,156000,total_equides,0
"1.54e+05,1.56e+05",154000,156000,total_ovins,0
"1.54e+05,1.56e+05",154000,156000,total_population,1.79841999074302
"1.54e+05,1.56e+05",154000,156000,total_porcins,0
"1.56e+05,1.58e+05",156000,158000,total_bovins,145.224362855882
"1.56e+05,1.58e+05",156000,158000,total_caprins,0
"1.56e+05,1.58e+05",156000,158000,total_equides,0
"1.56e+05,1.58e+05",156000,158000,total_ovins,0
"1.56e+05,1.58e+05",156000,158000,total_population,1.32185742203163
"1.56e+05,1.58e+05",156000,158000,total_porcins,0
"1.58e+05,1.6e+05",158000,160000,total_bovins,68.6893192059533
"1.58e+05,1.6e+05",158000,160000,total_caprins,0
"1.58e+05,1.6e+05",158000,160000,total_equides,0
"1.58e+05,1.6e+05",158000,160000,total_ovins,0
"1.58e+05,1.6e+05",158000,160000,total_population,1.01946560130825
"1.58e+05,1.6e+05",158000,160000,total_porcins,0
"1.6e+05,1.62e+05",160000,162000,total_bovins,7.65849325284285
"1.6e+05,1.62e+05",160000,162000,total_caprins,0
"1.6e+05,1.62e+05",160000,162000,total_equides,0
"1.6e+05,1.62e+05",160000,162000,total_ovins,0
"1.6e+05,1.62e+05",160000,162000,total_population,1.18268569569394
"1.6e+05,1.62e+05",160000,162000,total_porcins,0
"1.62e+05,1.64e+05",162000,164000,total_bovins,7.2606441636061
"1.62e+05,1.64e+05",162000,164000,total_caprins,0
"1.62e+05,1.64e+05",162000,164000,total_equides,0
"1.62e+05,1.64e+05",162000,164000,total_ovins,0
"1.62e+05,1.64e+05",162000,164000,total_population,0.526821406149706
"1.62e+05,1.64e+05",162000,164000,total_porcins,0
"1.64e+05,1.66e+05",164000,166000,total_bovins,0
"1.64e+05,1.66e+05",164000,166000,total_caprins,0
"1.64e+05,1.66e+05",164000,166000,total_equides,0
"1.64e+05,1.66e+05",164000,166000,total_ovins,0
"1.64e+05,1.66e+05",164000,166000,total_population,0.429802220988769
"1.64e+05,1.66e+05",164000,166000,total_porcins,0
"1.66e+05,1.68e+05",166000,168000,total_bovins,0
"1.66e+05,1.68e+05",166000,168000,total_caprins,0
"1.66e+05,1.68e+05",166000,168000,total_equides,0
"1.66e+05,1.68e+05",166000,168000,total_ovins,0
"1.66e+05,1.68e+05",166000,168000,total_population,0.316705656380501
"1.66e+05,1.68e+05",166000,168000,total_porcins,0
"1.68e+05,1.7e+05",168000,170000,total_bovins,1.39652932858706
"1.68e+05,1.7e+05",168000,170000,total_caprins,0
"1.68e+05,1.7e+05",168000,170000,total_equides,0
"1.68e+05,1.7e+05",168000,170000,total_ovins,0
"1.68e+05,1.7e+05",168000,170000,total_population,0.809220875605551
"1.68e+05,1.7e+05",168000,170000,total_porcins,0
"1.7e+05,1.72e+05",170000,172000,total_bovins,15.50972865291
"1.7e+05,1.72e+05",170000,172000,total_caprins,0
"1.7e+05,1.72e+05",170000,172000,total_equides,0
"1.7e+05,1.72e+05",170000,172000,total_ovins,0
"1.7e+05,1.72e+05",170000,172000,total_population,1.68392308753067
"1.7e+05,1.72e+05",170000,172000,total_porcins,0
"1.72e+05,1.74e+05",172000,174000,total_bovins,31.8333789352429
"1.72e+05,1.74e+05",172000,174000,total_caprins,0
"1.72e+05,1.74e+05",172000,174000,total_equides,0
"1.72e+05,1.74e+05",172000,174000,total_ovins,0
"1.72e+05,1.74e+05",172000,174000,total_population,2.80755093992903
"1.72e+05,1.74e+05",172000,174000,total_porcins,0
"1.74e+05,1.76e+05",174000,176000,total_bovins,34.506362265088
"1.74e+05,1.76e+05",174000,176000,total_caprins,0
"1.74e+05,1.76e+05",174000,176000,total_equides,0
"1.74e+05,1.76e+05",174000,176000,total_ovins,0
"1.74e+05,1.76e+05",174000,176000,total_population,2.99351233828417
"1.74e+05,1.76e+05",174000,176000,total_porcins,0
"1.76e+05,1.78e+05",176000,178000,total_bovins,33.417155381248
"1.76e+05,1.78e+05",176000,178000,total_caprins,0
"1.76e+05,1.78e+05",176000,178000,total_equides,0
"1.76e+05,1.78e+05",176000,178000,total_ovins,0
"1.76e+05,1.78e+05",176000,178000,total_population,2.9126845017401
"1.76e+05,1.78e+05",176000,178000,total_porcins,0
"1.78e+05,1.8e+05",178000,180000,total_bovins,9.82020355833178
"1.78e+05,1.8e+05",178000,180000,total_caprins,0
"1.78e+05,1.8e+05",178000,180000,total_equides,0
"1.78e+05,1.8e+05",178000,180000,total_ovins,0
"1.78e+05,1.8e+05",178000,180000,total_population,1.02568845523197
"1.78e+05,1.8e+05",178000,180000,total_porcins,0
"1.8e+05,1.82e+05",180000,182000,total_bovins,0
"1.8e+05,1.82e+05",180000,182000,total_caprins,0
"1.8e+05,1.82e+05",180000,182000,total_equides,0
"1.8e+05,1.82e+05",180000,182000,total_ovins,0
"1.8e+05,1.82e+05",180000,182000,total_population,0.260008208214652
